Question_number,Solutions
13.2,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{siunitx}

\begin{document}

\section*{Physics Problem and Solution}

\subsection*{(a)}

The kinetic energy \( K_p \) is given by:

\[
K_p = \frac{1}{2} q^2 r^2 B^2 m_p = \frac{1}{2} \times (1.6 \times 10^{-19})^2 \times (0.25)^2 \times (1.5)^2 \times \frac{1}{1.66 \times 10^{-27}}
\]

Calculating the above expression, we get:

\[
K_p = 2.17 \times 10^{-13} \, \text{J} = \frac{2.17 \times 10^{-13}}{1.6 \times 10^{-13}} \, \text{MeV} = 13.56 \, \text{MeV}
\]

The frequency \( f_p \) is given by:

\[
f_p = \frac{Bq}{2\pi m_p} = \frac{1.5 \times 1.6 \times 10^{-19}}{2\pi \times 1.66 \times 10^{-27}}
\]

Calculating the above expression, we get:

\[
f_p = 2.3 \times 10^7 \, \text{Hz} = 23 \, \text{MHz}
\]

\subsection*{(b)}

The kinetic energy \( K_\alpha \) is approximately:

\[
K_\alpha \approx \frac{1}{2} (2e)^2 r^2 B^2 \frac{1}{4m_p} = K_p = 13.56 \, \text{MeV}
\]

The frequency \( f_\alpha \) is given by:

\[
f_\alpha = \frac{(B)(2e)}{2\pi \times 4m_p} = \frac{f_p}{2} = 11.5 \, \text{MHz}
\]

\end{document}
```

This LaTeX code will format the given physics problem and solution with proper mathematical notation and units."
13.3,"```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

We start with the equation for the force on a charged particle moving in a magnetic field:

\begin{equation}
qvB = Eq \implies v = \frac{E}{B}
\end{equation}

For the centripetal force acting on the particle, we have:

\begin{equation}
m \frac{v^2}{r} = qvB' \implies r = \frac{mv}{qB'}
\end{equation}

The separation between two radii \( r_2 \) and \( r_1 \) is given by:

\begin{align}
\text{Separation} &= 2r_2 - 2r_1 \\
&= 2(r_2 - r_1) \\
&= \frac{2E}{qBB'}(m_2 - m_1)
\end{align}

where we have used equations (1) and (2).

\end{document}
```

This LaTeX code will properly format the physics equations and align them correctly in a document."
13.4,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

To find the mass of the particle, we start with the equation for the centripetal force in a magnetic field:

\[
m v^2 = B e v r
\]

Solving for \( m \), we have:

\[
m = \frac{B e r}{v}
\]

Substituting the given values:

\[
m = \frac{0.2 \times 1.6 \times 10^{-19} \times 0.2}{2.5 \times 10^7}
\]

Calculating the above expression:

\[
m = 2.56 \times 10^{-28} \, \text{kg}
\]

To express this mass in terms of the electron mass \( m_e \):

\[
m = \frac{2.56 \times 10^{-28}}{9.1 \times 10^{-31}} = 281 \, m_e
\]

Hence, the particle is identified as a pion (\(\pi\)-meson).

\end{document}
```"
13.5,"Certainly! Here is the given physics text converted into properly formatted LaTeX:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

The acceleration is given by:
\begin{equation}
a = \frac{qE}{m}
\end{equation}

The equation for vertical displacement is:
\begin{equation}
y = \frac{1}{2} a t^2
\end{equation}

The equation for horizontal displacement is:
\begin{equation}
x = vt
\end{equation}

Combining equations (1), (2), and (3), we get:
\begin{equation}
y = \frac{qE x^2}{2mv^2}
\end{equation}
which is the equation of a parabola.

\end{document}
```

This LaTeX code will format the equations and text properly, ensuring clarity and readability in a physics context."
13.6,"To convert the given physics text into properly formatted LaTeX, we need to ensure that all mathematical expressions are correctly typeset. Here's how you can write it:

```latex
\documentclass{article}
\usepackage{amsmath}
\begin{document}

The radius \( r \) is given by:

\[
r = \frac{\sqrt{2mK}}{qB} = \frac{\sqrt{2 \times 9.1 \times 10^{-31} \times 5 \times 10^{3} \times 1.6 \times 10^{-19}}}{1.6 \times 10^{-19} \times 10^{-2}}
\]

Calculating the above expression, we find:

\[
r = 0.0238 \, \text{m} = 2.38 \, \text{cm}
\]

\end{document}
```

This LaTeX code will properly format the physics expression, displaying the calculation of the radius \( r \) with all components clearly laid out."
13.7,"To convert the given physics text into properly formatted LaTeX, we need to ensure that the equations are correctly structured and aligned. Here's the LaTeX code for the provided text:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

Given the equation for the force on a charged particle in both electric and magnetic fields:

\begin{equation}
qE = qvB
\end{equation}

Solving for the magnetic field \( B \), we have:

\begin{equation}
B = \frac{E}{v} = \frac{1500}{3000} = 0.5 \, \text{T}
\end{equation}

\end{document}
```

This code will produce a neatly formatted document with the equations properly displayed. The `amsmath` package is used for better handling of mathematical expressions."
13.8,"To convert the given physics text into properly formatted LaTeX, we will break it down into two parts: (a) and (b). Here is the LaTeX code:

```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{siunitx}

\begin{document}

\section*{Physics Problem Solution}

\begin{enumerate}
    \item[(a)] 
    \begin{align*}
        v &= \frac{rqB}{m} \\
        &= \frac{1.9 \times 1.6 \times 10^{-19} \times 3 \times 10^{-5}}{9.1 \times 10^{-31}} \\
        &= 1.07 \times 10^{7} \, \text{m/s}
    \end{align*}

    \item[(b)] 
    \begin{align*}
        t &= \frac{2\pi r}{v} \\
        &= \frac{2\pi \times 1.9}{1.07 \times 10^{7}} \\
        &= 1.19 \times 10^{-6} \, \text{s} \\
        &= 1.19 \, \mu\text{s}
    \end{align*}
\end{enumerate}

\end{document}
```

This LaTeX code includes the necessary packages for mathematical formatting and units, and it presents the solution in a clear and structured manner. The calculations are aligned for readability, and the units are formatted using `\text{}` for text mode within math environments."
13.9,"To convert the given physics text into properly formatted LaTeX, we will structure the equations using the `equation` environment and ensure all mathematical symbols and expressions are correctly represented. Here is the LaTeX code:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

\begin{equation}
    B = \frac{2\pi mf}{q} = \frac{2\pi \times 2.0141 \times 1.66 \times 10^{-27} \times 5 \times 10^{6}}{1.6 \times 10^{-19}} = 0.656 \, \text{Wb/m}^2
\end{equation}

\begin{equation}
    K = \frac{1}{2} \frac{q^2 r^2 B^2}{m} = \frac{1}{2} \times (1.6 \times 10^{-19})^2 \times (0.762)^2 \times (0.325)^2 \div (2.0141 \times 1.66 \times 10^{-27}) = 4.696 \times 10^{-13} \, \text{J} = 2.9 \, \text{MeV}
\end{equation}

\end{document}
```

This code uses the `equation` environment for each equation, ensuring that all mathematical operations and units are clearly presented. The `amsmath` package is included for enhanced mathematical formatting capabilities."
13.10,"Certainly! Below is the properly formatted LaTeX code for the given physics text:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

For deuterons:
\[
B = 2\pi \, \text{fm}
\]
\[
q = \frac{2\pi \times 11.5 \times 10^6 \times 2.014 \times 1.66 \times 10^{-27}}{1.6 \times 10^{-19}} = 1.509 \, \text{Wb/m}^2
\]

For protons:
\[
f = \frac{qB}{2\pi m} = \frac{1.6 \times 10^{-19} \times 1.509}{2\pi \times 1.66 \times 10^{-27}} = 2.316 \times 10^7 \, \text{c/s} = 23.16 \, \text{Mc/s}
\]

\end{document}
```

This LaTeX code will correctly format the physics equations and calculations as described in the text."
13.11,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{siunitx}

\begin{document}

\section*{Physics Problem Solutions}

\subsection*{(a) Calculation of Frequency}

The frequency \( f \) is given by the formula:
\[
f = \frac{Bq}{2\pi m}
\]

Substituting the given values:
\[
f = \frac{1.5 \times 1.6 \times 10^{-19}}{2\pi \times 3.32 \times 10^{-27}}
\]

Calculating the result:
\[
f = 11.5 \times 10^{6} \, \text{c/s} = 11.5 \, \text{Mc/s}
\]

\subsection*{(b) Calculation of Kinetic Energy}

The kinetic energy \( K \) is given by the formula:
\[
K = \frac{1}{2} \frac{q^2 r^2 B^2}{m}
\]

Substituting the given values:
\[
K = \frac{1}{2} \left(1.6 \times 10^{-19} \times 0.5 \times 1.5\right)^2 \times \frac{1}{3.32 \times 10^{-27}}
\]

Calculating the result:
\[
K = 21.69 \times 10^{-13} \, \text{J} = 13.56 \, \text{MeV}
\]

\end{document}
```"
13.12,"Certainly! Below is the properly formatted LaTeX code for the given physics expression:

```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

The current \( i \) is calculated as follows:

\[
i = q \cdot t = \frac{1.6 \times 10^{-19}}{1.5 \times 10^{-16}} = 1.06 \times 10^{-3} \, \text{A}
\]

\end{document}
```

This code will display the equation with correct formatting when compiled with a LaTeX editor."
13.13,"```latex
\documentclass{article}
\usepackage{amsmath}
\begin{document}

\section*{Physics Problem and Solution}

\begin{enumerate}
    \item[(i)] \textbf{Magnetic and Electric Forces:}
    \begin{align*}
        \text{Magnetic force, } F_M &= qvB \\
        \text{Electric force, } F_E &= qE \\
        \text{For no deflection, } F_M &= F_E \\
        \therefore qvB &= qE \\
        \therefore v &= \frac{E}{B} = \frac{80 \times 10^3}{0.4} = 2 \times 10^5 \, \text{m/s}
    \end{align*}

    \item[(ii)] \textbf{Centripetal Force and Charge-to-Mass Ratio:}
    \begin{align*}
        \frac{mv^2}{r} &= qvB \\
        \therefore \frac{q}{m} &= \frac{v}{Br} = \frac{E}{B^2 r} \\
        &= \frac{80 \times 10^3}{(0.4)^2 (1.14 \times 10^{-2})} \\
        &= 4.38 \times 10^7 \, \text{C/kg}
    \end{align*}
\end{enumerate}

\end{document}
```

This LaTeX code formats the physics problem and solution into a clear and structured document, using equations and proper mathematical notation."
13.14,"To convert the given physics text into properly formatted LaTeX, we will structure the equations and ensure proper alignment and formatting. Here's the LaTeX code:

```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

\section*{Physics Problem and Solution}

\subsection*{(a) Lorentz Force}
The Lorentz force is given by:
\begin{equation}
    \mathbf{F} = q\mathbf{E} + q\mathbf{v} \times \mathbf{B}
\end{equation}

\subsection*{(b) Energy in Electric and Magnetic Fields}

In the electric field, the energy acquired is:
\begin{equation}
    K = qV
\end{equation}

Thus, the momentum is:
\begin{equation}
    p = \sqrt{2mK} = \sqrt{2mqV}
\end{equation}

In the magnetic field, the momentum is given by:
\begin{equation}
    p = qBr
\end{equation}

Combining the expressions for momentum in the electric and magnetic fields, we have:
\begin{equation}
    r = \frac{\sqrt{2mV}}{qB^2}
\end{equation}

\end{document}
```

This LaTeX document includes the necessary packages for mathematical formatting and provides a clear structure for the physics problem and its solution. Each equation is properly formatted and labeled for clarity."
13.15,"```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

Let the isotopes $^{235}\text{U}$ and $^{238}\text{U}$ be called 1 and 2, respectively. In the magnetic field, the momenta are given by

\begin{align*}
    p_1 &= qBr_1, \\
    p_2 &= qBr_2, \\
    p_2 - p_1 &= qB(r_2 - r_1) = 1.6 \times 10^{-19} \times 0.2 \times 2 \times 10^{-3} \\
    &= 6.4 \times 10^{-21} \, \text{kg m/s}. \tag{1}
\end{align*}

In the electric field

\begin{equation}
    qV = \frac{p_1^2}{2m_1} = \frac{p_2^2}{2m_2} \tag{2}
\end{equation}

Thus,

\begin{align*}
    p_2 &= p_1 \sqrt{\frac{m_2}{m_1}} = p_1 \sqrt{\frac{3.95 \times 10^{-25}}{3.90 \times 10^{-25}}} \\
    &= 1.00639 \, p_1. \tag{3}
\end{align*}

Combining (1) and (3)

\begin{equation}
    p_1 = 1.00159 \times 10^{-19} \, \text{kg m/s}. \tag{4}
\end{equation}

Substituting (4) into (2)

\begin{align*}
    V &= \frac{(10^{-19})^2}{2 \times 1.6 \times 10^{-19} \times 3.90 \times 10^{-25}} \\
    &= 8 \times 10^4 \, \text{V}
\end{align*}

\end{document}
```
"
13.16,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}
\usepackage{physics}

\begin{document}

\section*{Physics Problem and Solution}

\subsection*{(a) Motion of a Charged Particle in a Magnetic Field}

The force on a charged particle moving in a magnetic field is given by:

\[
\vec{F} = q \vec{v} \times \vec{B}
\]

If the magnetic field \(\vec{B}\) is perpendicular to the velocity \(\vec{v}\), then the particle will move in a circle. The centripetal force required for circular motion is provided by the magnetic force:

\[
\frac{mv^2}{r} = qvB
\]

Solving for the radius \(r\) of the circular path, we have:

\[
r = \frac{mv}{qB}
\]

\subsection*{(b) Electromagnetic Induction}

The electromotive force (emf) \(\xi\) induced in a coil with \(N\) turns is given by Faraday's law of electromagnetic induction:

\[
\xi = -\frac{d}{dt}(N\Phi) = -\frac{d}{dt}(NBA)
\]

Assuming the magnetic field \(B\) changes with time as \(B(t) = B_0 \cos(15t)\), the emf becomes:

\[
\xi = -NA \frac{d}{dt}(B_0 \cos(15t))
\]

Differentiating with respect to time, we obtain:

\[
\xi = -NA \left(-15B_0 \sin(15t)\right)
\]

Thus, the induced emf is:

\[
\xi = 15NAB_0 \sin(15t)
\]

\end{document}
```"
13.17,"```latex
\documentclass{article}
\usepackage{amsmath}

\begin{document}

\section*{Solution}

\subsection*{(a)}

The electric field is given by:
\[
E = \frac{q}{4\pi \varepsilon_0 r}
\]
Solving for \( q \):
\[
q = 4\pi \varepsilon_0 r E
\]
Substituting the given values:
\[
q = 4\pi \times 8.85 \times 10^{-12} \, \text{F/m} \times 10^{-6} \, \text{m} \times 5.8 \times 10^{-3} \, \text{V/m}
\]
\[
q = 6.447 \times 10^{-19} \, \text{C}
\]

The number of electrons \( n \) is given by:
\[
n = \frac{q}{e} = \frac{6.447 \times 10^{-19} \, \text{C}}{1.6 \times 10^{-19} \, \text{C/electron}} = 4.029
\]
Thus, the number of electrons is approximately 4.

\subsection*{(b)}

The minimum electric field \( E \) required to prevent the droplet from falling is determined by equating the electric force to the gravitational force:
\[
qE = mg
\]
Solving for \( E \):
\[
E = \frac{mg}{q}
\]
The mass \( m \) of the droplet is given by:
\[
m = \frac{4}{3} \pi r^3 \rho
\]
Substituting the values:
\[
E = \frac{\frac{4}{3} \pi (10^{-6} \, \text{m})^3 \times 1000 \, \text{kg/m}^3 \times 9.8 \, \text{m/s}^2}{6.447 \times 10^{-19} \, \text{C}}
\]
\[
E = 6.37 \times 10^4 \, \text{V/m}
\]

\end{document}
```"
13.18,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{siunitx}

\begin{document}

When a charged particle moves at an angle $\theta$ to the field direction, the particle will move in a helical path. The vector velocity $\mathbf{v}$ of the particle can be resolved into two components, one parallel to $\mathbf{B}$ and one perpendicular to it:
\[
v_{\parallel} = v \cos \theta \quad \text{and} \quad v_{\perp} = v \sin \theta
\]

The parallel component determines the pitch of the helix, that is, the distance between the adjacent turns. The perpendicular component determines the radius $r$ of the helix:

\[
v = \sqrt{\frac{2K}{m}} = \sqrt{\frac{2 \times 1 \times 1.6 \times 10^{-19}}{9.1 \times 10^{-31}}} = 5.93 \times 10^{5} \, \text{m/s}
\]

\[
r = \frac{mv \sin \theta}{|q| B} = \frac{9.1 \times 10^{-31} \times 5.93 \times 10^{5} \times \sin 60^\circ}{1.6 \times 10^{-19} \times 10^{-3}} = 2.92 \times 10^{-3} \, \text{m} = 2.92 \, \text{mm}
\]

Time period $T$:
\[
T = \frac{2\pi m}{|q| B} = \frac{2\pi \times 9.1 \times 10^{-31}}{1.6 \times 10^{-19} \times 10^{-3}} = 3.57 \times 10^{-8} \, \text{s}
\]

Pitch:
\[
\text{Pitch} = (v \cos \theta) T = 5.93 \times 10^{5} \times \cos 60^\circ \times 3.57 \times 10^{-8} = 0.1 \, \text{m}
\]

\end{document}
```

This LaTeX code formats the physics problem and solution with proper mathematical notation, ensuring clarity and precision in the representation of the equations and calculations."
13.19,"```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}

\begin{document}

\section*{Problem: Motion of an Electron in Electric and Magnetic Fields}

(i) Choose the origin at \( O \), as shown in Fig. 13.21. The electric field \(\mathbf{E}\) acts along the \( y \)-direction, perpendicular to the plates which are located in the \( x \)-direction. The electric force on the electron is directed along the \( y \)-axis and the magnetic force along the \( z \)-axis. If the component of initial velocity in the direction of \(\mathbf{B}\) is zero, then the path of the electron will be contained entirely in the \( xy \)-plane.

\begin{figure}[h]
    \centering
    % Include your figure here
    \caption{Generating a cycloid}
\end{figure}

The Lorentz force is given by:
\[
\mathbf{F} = q\mathbf{E} + q\mathbf{v} \times \mathbf{B}
\]

In component form:
\begin{align}
    F_y &= m \frac{dv_y}{dt} = qE - qBv_x \label{eq:1} \\
    F_x &= m \frac{dv_x}{dt} = qBv_y \label{eq:2}
\end{align}

For convenience, define:
\[
\omega = \frac{qB}{m}, \quad \gamma = \frac{E}{B}
\]

Equations \eqref{eq:1} and \eqref{eq:2} can be rewritten as:
\begin{align}
    \frac{dv_y}{dt} &= \omega \gamma - \omega v_x \label{eq:4} \\
    \frac{dv_x}{dt} &= \omega v_y \label{eq:5}
\end{align}

Differentiating \eqref{eq:4} and using \eqref{eq:5}:
\[
\frac{d^2v_y}{dt^2} = -\omega \frac{dv_x}{dt} = -\omega^2 v_y
\]
or
\[
\frac{d^2v_y}{dt^2} + \omega^2 v_y = 0 \tag{6}
\]

With the initial conditions \( v_x = v_y = 0 \) at \( t = 0 \), equation (6) has the solution:
\[
v_y = A \sin \omega t \tag{7}
\]
where \( A = \text{constant} \).

Thus,
\[
\frac{dv_y}{dt} = A \omega \cos \omega t = \omega \gamma - \omega v_x
\]

At \( t = 0 \), \( v_x = 0 \), hence:
\[
A \omega = \omega \gamma \Rightarrow A = \gamma
\]

Thus,
\[
v_y = \gamma \sin \omega t \tag{8}
\]

Substituting \eqref{eq:8} into \eqref{eq:5}, integrating and using the initial condition \( v_x = 0 \) at \( t = 0 \):
\[
v_x = \gamma (1 - \cos \omega t) \tag{9}
\]

(ii) The coordinates \( x \) and \( y \) at any time \( t \) can be found by integrating separately \eqref{eq:8} and \eqref{eq:9} with the initial condition \( x = y = 0 \) at \( t = 0 \):
\begin{align}
    y &= \frac{\gamma}{\omega} (1 - \cos \omega t) \tag{10} \\
    x &= \gamma \left( t - \frac{\sin \omega t}{\omega} \right) \tag{11}
\end{align}

Using \eqref{eq:9} and \eqref{eq:10}, we get:
\[
v_x = \omega y \tag{12}
\]

(iii) The energy of the particle is unaffected in the static magnetic field. Under the electric field in the \( y \)-direction, the energy picked up will be:
\[
qV_y = \frac{1}{2} m v^2 = \frac{1}{2} m (v_x^2 + v_y^2)
\]
or
\[
v_y^2 = \frac{2qV_y}{m} - \omega^2 y^2 \"
13.20,"It seems like the input text is incomplete. However, I can provide you with a general template for formatting physics problems and solutions in LaTeX. If you have specific content or equations you'd like to format, please provide them, and I'll be happy to assist further.

Here's a basic template for a physics problem and solution in LaTeX:

```latex
\documentclass{article}
\usepackage{amsmath}
\usepackage{amssymb}
\usepackage{graphicx}

\begin{document}

\section*{Physics Problem}

\textbf{Problem:} Referring to Fig. \ref{fig:example}, calculate the force exerted on the object.

\begin{figure}[h]
    \centering
    \includegraphics[width=0.5\textwidth]{example-image} % Replace with your image file
    \caption{Example figure caption.}
    \label{fig:example}
\end{figure}

\section*{Solution}

To solve this problem, we use Newton's second law of motion, which states:

\begin{equation}
    F = ma
\end{equation}

where \( F \) is the force, \( m \) is the mass of the object, and \( a \) is the acceleration.

Assuming the mass of the object is \( m = 5 \, \text{kg} \) and the acceleration is \( a = 2 \, \text{m/s}^2 \), we can substitute these values into the equation:

\begin{equation}
    F = 5 \, \text{kg} \times 2 \, \text{m/s}^2 = 10 \, \text{N}
\end{equation}

Thus, the force exerted on the object is \( 10 \, \text{N} \).

\end{document}
```

This template includes a section for the problem statement, a figure, and a solution using a basic physics equation. Replace the placeholder text and image with your specific content. If you have more details or specific equations, please let me know!"
13.21,"```latex
\documentclass{article}
\usepackage{amsmath}
\begin{document}

Setting $\theta = \omega t$ and $R = \frac{\gamma}{\omega}$, and from equations (10) and (11) of problem (13.19), we get the parametric equations of the cycloid:

\begin{align}
    y &= R(1 - \cos \theta) \label{eq:cycloid_y} \\
    x &= R(\theta - \sin \theta) \label{eq:cycloid_x}
\end{align}

These equations define the path generated by a point on the circumference of a circle which rolls along the x-axis. The maximum displacement of the electron along the y-axis is equal to the diameter of the rolling circle, that is, $2R$. Identifying $2R = d$, we have:

\begin{equation}
    d^2 = R = \frac{\gamma}{\omega} = \frac{E}{B} = \frac{E m}{e B^2} \label{eq:displacement}
\end{equation}

where we have set $q = e$, for the electron charge. Also, $E = \frac{V}{d}$.

Using equation \eqref{eq:displacement}:

\begin{equation}
    d^2 = \frac{2mV}{eB^2} \label{eq:condition}
\end{equation}

Thus, the condition that the electrons are able to arrive at the positive plate is:

\begin{equation}
    d^2 < \frac{2mV}{eB^2}
\end{equation}

For problem 13.21, using $B = \frac{\mu_0 i}{2\pi r}$, we find:

\begin{align*}
    i &= \frac{2\pi Br}{\mu_0} \\
      &= \frac{2\pi \times 10^{-6} \times 0.4}{4\pi \times 10^{-7}} \\
      &= 2\, \text{A}
\end{align*}

\end{document}
```

This LaTeX code formats the given physics text into a structured document with equations properly aligned and labeled."
